iter	Logloss
0	0.6544302895
1	0.6293519095
2	0.6152313929
3	0.6037306327
4	0.597346509
5	0.5931224894
6	0.5899675362
7	0.5875917211
8	0.5851861197
9	0.5841938329
10	0.5835329437
11	0.5824476257
12	0.581871182
13	0.5814700891
14	0.5806643887
15	0.579617355
16	0.5786760871
17	0.5780875371
18	0.5771980236
19	0.5769044623
20	0.5766907026
21	0.5765073503
22	0.5762640042
23	0.5758122329
24	0.5755833512
25	0.5754489548
26	0.5753546302
27	0.5750443874
28	0.5749513116
29	0.5746434689
30	0.5744404115
31	0.5742433881
32	0.5741737462
33	0.5741030812
34	0.57400591
35	0.5739007665
36	0.5738276889
37	0.5736983495
38	0.5736190153
39	0.5734165043
40	0.5733365125
41	0.5732732985
42	0.5732066354
43	0.57316282
44	0.5730918911
45	0.5730469509
46	0.5729731677
47	0.5728476843
48	0.5727297923
49	0.5726657288
50	0.5726098255
51	0.5724723139
52	0.5722915784
53	0.5722341657
54	0.5721651652
55	0.5721075689
56	0.5719599806
57	0.5719236318
58	0.5718754685
59	0.5718159789
60	0.5718143043
61	0.571753959
62	0.5717125535
63	0.5716667458
64	0.5716262893
65	0.5716026222
66	0.5714863234
67	0.571450558
68	0.5714064437
69	0.5713705623
70	0.5713503042
71	0.5713212975
72	0.5712733611
73	0.5712407583
74	0.5711617272
75	0.5711488691
76	0.5711283352
77	0.5710884362
78	0.5710475419
79	0.5709661296
80	0.5709384948
81	0.5708788896
82	0.570828509
83	0.5707866655
84	0.5707549953
85	0.5707163458
86	0.5706496682
87	0.5706293556
88	0.5705899595
89	0.5705383907
90	0.5705105765
91	0.5704902557
92	0.5704558845
93	0.570419794
94	0.5704026374
95	0.570384625
96	0.5703542167
97	0.5703024685
98	0.5702882336
99	0.5702261048
100	0.570174613
101	0.5701515555
102	0.5700799626
103	0.5700524549
104	0.570008256
105	0.5699725594
106	0.569956115
107	0.5699154261
108	0.5698975783
109	0.5698304664
110	0.5697962782
111	0.5697468129
112	0.5697223306
113	0.5696378825
114	0.56960498
115	0.5695568579
116	0.5694791597
117	0.5694496397
118	0.5694073658
119	0.5693777133
120	0.569326326
121	0.569311551
122	0.5692786215
123	0.5692060893
124	0.5691725534
125	0.5691536689
126	0.5691217133
127	0.5690699237
128	0.5690386998
129	0.5690217996
130	0.5689894071
131	0.5689553693
132	0.5689053946
133	0.568878832
134	0.5688788906
135	0.5688533336
136	0.56881756
137	0.5687916185
138	0.568772759
139	0.5687406558
140	0.5687189334
141	0.5686857236
142	0.5686448624
143	0.568615532
144	0.5685972156
145	0.5685786133
146	0.5685209842
147	0.5684850181
148	0.5684593353
149	0.5684242004
150	0.5683747735
151	0.5683584603
152	0.5683244295
153	0.5682978663
154	0.5682501766
155	0.568174667
156	0.5681472696
157	0.5681045285
158	0.5680646058
159	0.5680568043
160	0.5680317994
161	0.5679905265
162	0.5679785822
163	0.5679371069
164	0.5678880167
165	0.5678505758
166	0.567796774
167	0.5677576062
168	0.5677280495
169	0.5676918329
170	0.5676477532
171	0.567615181
172	0.567550758
173	0.567508431
174	0.5674701825
175	0.5674084823
176	0.5673731967
177	0.567307504
178	0.5672709437
179	0.5672236839
180	0.5671763967
181	0.5671377124
182	0.5670879326
183	0.5670433882
184	0.5670028297
185	0.5669681387
186	0.5669188137
187	0.5668724334
188	0.5668224405
189	0.5667842392
190	0.5667343262
191	0.566685362
192	0.5666546261
193	0.5666083416
194	0.5665658209
195	0.5665064003
196	0.5664619751
197	0.5664153492
198	0.5663746115
199	0.566339355
200	0.5662984657
201	0.5662584606
202	0.5662225749
203	0.5661755914
204	0.5661395974
205	0.5660888241
206	0.5660372261
207	0.5659973787
208	0.5659564604
209	0.5659178301
210	0.5658918016
211	0.5658441201
212	0.5657987613
213	0.5657540908
214	0.5657192435
215	0.5656875148
216	0.5656580434
217	0.5656263145
218	0.5655753635
219	0.5655439299
220	0.5655088694
221	0.5654785382
222	0.5654291234
223	0.565390935
224	0.5653396261
225	0.5653031445
226	0.565271777
227	0.5652424703
228	0.5651933417
229	0.5651717625
230	0.5651192189
231	0.565078363
232	0.5650586256
233	0.5650187213
234	0.5649896925
235	0.5649635796
236	0.5649218077
237	0.5648736094
238	0.5648180204
239	0.5647659858
240	0.5647420127
241	0.5647052727
242	0.564672851
243	0.5646417024
244	0.5646063442
245	0.564557275
246	0.5645104272
247	0.5644586658
248	0.5644355698
249	0.5643909544
250	0.5643481245
251	0.5643161573
252	0.5642930179
253	0.564256942
254	0.5642231357
255	0.5641727476
256	0.5641347721
257	0.564103372
258	0.5640690154
259	0.5640301104
260	0.563992087
261	0.5639642449
262	0.5639165488
263	0.5638746629
264	0.5638251125
265	0.5637880455
266	0.5637449804
267	0.5637274912
268	0.5637011456
269	0.5636527085
270	0.5636117674
271	0.5635790886
272	0.563537945
273	0.5635097672
274	0.5634845323
275	0.5634502955
276	0.5634125317
277	0.5633788053
278	0.5633297832
279	0.5632867519
280	0.5632644495
281	0.5632162544
282	0.5631849326
283	0.5631508377
284	0.563110126
285	0.5630756974
286	0.5630379748
287	0.5630087785
288	0.5629794667
289	0.5629391406
290	0.5628941947
291	0.5628731633
292	0.5628469241
293	0.5628091285
294	0.5627812088
295	0.5627459361
296	0.5627143533
297	0.5626742266
298	0.5626480838
299	0.5626264193
300	0.5625848134
301	0.5625616991
302	0.5625134922
303	0.5624752539
304	0.562449468
305	0.5624169323
306	0.5623630595
307	0.5623354126
308	0.5622993676
309	0.5622832157
310	0.5622573769
311	0.5622186571
312	0.5621825367
313	0.56213686
314	0.5620974707
315	0.5620329884
316	0.5620063193
317	0.5619721221
318	0.5619495633
319	0.5619130914
320	0.5618826977
321	0.5618534696
322	0.5618255189
323	0.5618010851
324	0.5617604718
325	0.5617252342
326	0.5616925936
327	0.5616593315
328	0.561625594
329	0.5615974211
330	0.5615611506
331	0.5615236612
332	0.5614928352
333	0.5614607445
334	0.5614207242
335	0.561384667
336	0.561346919
337	0.561319097
338	0.561275702
339	0.5612406574
340	0.5612050039
341	0.5611740867
342	0.561132031
343	0.5610709348
344	0.5610330258
345	0.5610141411
346	0.5609825543
347	0.5609485185
348	0.5609256451
349	0.5608914278
350	0.5608632001
351	0.5608222161
352	0.5608024448
353	0.5607579349
354	0.5607125304
355	0.5606770152
356	0.5606586544
357	0.5606306574
358	0.5605829781
359	0.560548679
360	0.5605152289
361	0.560499061
362	0.560473511
363	0.5604504689
364	0.5604347312
365	0.560407699
366	0.5603790817
367	0.5603566504
368	0.5603326431
369	0.5602979217
370	0.560264562
371	0.5602443544
372	0.5602134465
373	0.5601904262
374	0.5601638438
375	0.5601240102
376	0.5601026546
377	0.560082134
378	0.560061185
379	0.5600415883
380	0.5600098521
381	0.5599893235
382	0.5599761596
383	0.559955985
384	0.5599304489
385	0.5599118399
386	0.5598823224
387	0.5598616814
388	0.5598337135
389	0.5598068498
390	0.5597659361
391	0.559717811
392	0.559699988
393	0.5596736433
394	0.559646511
395	0.5596279107
396	0.5596055525
397	0.5595695773
398	0.5595353228
399	0.5595100248
400	0.5594862449
401	0.5594312896
402	0.5593987858
403	0.5593775131
404	0.5593560961
405	0.5593185188
406	0.5592890828
407	0.5592582849
408	0.5592270639
409	0.5591982013
410	0.5591709452
411	0.5591521087
412	0.5591237381
413	0.5590851027
414	0.559035533
415	0.5590057133
416	0.5589883422
417	0.5589475668
418	0.558930405
419	0.5588974725
420	0.5588600966
421	0.5588318557
422	0.5588068926
423	0.5587791389
424	0.5587586484
425	0.5587338281
426	0.5586983221
427	0.5586630653
428	0.5586356904
429	0.5586030852
430	0.5585740135
431	0.5585441589
432	0.5585163235
433	0.5584922908
